"product_id","product_release_id","product_name","roaster_id","product_created_at","release_created_at","roaster_tasting_notes_string","roaster_description"
6,73,Kiaguthu Kenya,1,2017-09-19 03:58:18.364,2017-12-29 02:58:37.713,"Red currant, blackberry","Kiaguthu was founded in 1964 and is located in the Karuthi region of Central Nyeri at 1847 meters above sea level, between the Rwarai and Chinga rivers. Kiaguthu is a member of the Othaya Farmers Co-operative Society, which Phil visited at the beginning of this year (2016). Othaya is a very progressive operation, complete with their own dry mill and quality control lab. They are a large co-op with 19 factories (although not all of them operated in the 2016 season, given the smaller crop), but despite their size, they are producing impeccable quality."
7,28,San Sebastian,2,2017-09-20 01:36:57.580,2017-12-29 02:58:37.713,"Grape, fresh, balanced, syrupy",N/A
7,1375,San Sebastian,2,2017-09-20 01:36:57.580,2019-04-10 14:51:35.776,"Blood orange, mango and grape crush",
7,158,San Sebastian,2,2017-09-20 01:36:57.580,2018-08-13 01:47:45.165,"Yellow plum, butterscotch, grape",
8,4748,Detour Dark,2,2017-09-20 01:51:58.029,2020-12-07 22:35:42.983,"Dark Chocolate, Molasses, Toasted Nuts",
8,1,Detour Dark,2,2017-09-20 01:51:58.029,2017-12-29 02:58:37.713,"Dark chocolate, molasses, toasted nuts",
8,1781,Detour Dark,2,2017-09-20 01:51:58.029,2019-07-01 20:25:12.179,"Dark chocolate, molasses, toasted nuts.",
9,2,Gelana Abaya,3,2017-09-20 02:01:21.986,2017-12-29 02:58:37.713,"Strawberry, raspberry, floral, sugary and tart. ",
10,29,Thuti Kenya,1,2017-09-21 14:07:52.308,2017-12-29 02:58:37.713,"Pomegranate, Stewed Apple, Currant",N/A
11,30,Kochere,28,2017-09-22 04:15:18.912,2017-12-29 02:58:37.713,"Apricot, cranberry, earl grey","Grown in the Gedeo Zone of Yirgacheffe, this coffee is hand sorted and dried for 15 days on raised beds using shade and mesh wire"
12,3,Gelena Abaya,8,2017-09-22 04:24:33.961,2017-12-29 02:58:37.713,"Black tea, cherry, and bergamot notes",
14,4,Burundi Nkanda,4,2017-09-22 23:20:28.785,2017-12-29 02:58:37.713,"Dried plum, botanical, buttery",N/A
15,5,Espresso Holycow,24,2017-09-22 23:40:56.067,2017-12-29 02:58:37.713,"Fudge, Black Cherry and Dulce de Leche
",
15,1538,Espresso Holycow,24,2017-09-22 23:40:56.067,2019-04-22 16:50:24.246,"Cocoa, Hazelnut and Date",
15,4223,Espresso Holycow,24,2017-09-22 23:40:56.067,2020-04-15 19:50:45.342,Butter Caramel + Nuts + Plum,
16,6,Espresso Godshot,24,2017-09-22 23:43:58.335,2017-12-29 02:58:37.713,"Candied orange, nutmeg, floral",
16,299,Espresso Godshot,24,2017-09-22 23:43:58.335,2018-09-15 00:20:04.347,"Floral, caramel, candied lemon",
16,1499,Espresso Godshot,24,2017-09-22 23:43:58.335,2019-04-18 16:32:50.360,"Caramel, Pink Grapefruit and Nougat
",
17,7,Decaf Black Cat Espresso,12,2017-09-22 23:50:51.944,2017-12-29 02:58:37.713,"Stone fruit, milk chocolate, sweet nuts","Decaffeinated by water process, this smooth espresso tastes predominantly of cocoa, with hints of sweet pipe tobacco, roasted walnut and subtle dried fruit."
18,8,Black Cat Classic Espresso,12,2017-09-22 23:56:30.887,2017-12-29 02:58:37.713,"Stone fruit, dark sugars, dark chocolate","This syrupy and sweet espresso blend has been the staple of our lineup since the very beginning. It is a product of intensive lot selection and close, direct work with the farmers who produce its components. Supreme balance and a wonderful sweetness make this a classic."
19,9,Black Cat Organic Espresso,12,2017-09-23 00:03:36.881,2017-12-29 02:58:37.713,"Melon, Dark Sugars, Dark Chocolate","Organic Black Cat Espresso offers a full-bodied mouthfeel with clean flavors of caramel, honeydew melon, and grape. Sweetness is abundant, finishing with a resonating coating of dark chocolate and toasted almond."
20,304,Forty-Six,13,2017-09-23 00:12:17.253,2018-09-15 18:03:40.292,"Dark chocolate, smoky, full-bodied",
20,1242,Forty-Six,13,2017-09-23 00:12:17.253,2019-03-12 01:15:07.337,"Dark chocolate, smokey, full-bodied",
20,3333,Forty-Six,13,2017-09-23 00:12:17.253,2019-11-17 01:02:43.977,"Dark chocolate, smoky, full-bodied",
20,3496,Forty-Six,13,2017-09-23 00:12:17.253,2019-12-01 19:26:20.601,"Dark chocolate, smoky, full-bodied",
20,10,Forty-Six,13,2017-09-23 00:12:17.253,2017-12-29 02:58:37.713,"Dark chocolate, smoky, full-bodied","Reclaiming dark roasts from the realm of less-than-great coffee, we take some of our best and roast them with care in Forty-Six to create something complex, sweet, clean, smoky, and nuanced. This coffee was originally recipe #46; hence the name"
20,2071,Forty-Six,13,2017-09-23 00:12:17.253,2019-07-29 23:59:41.504,"Dark chocolate, smokey, full-bodied",
20,2812,Forty-Six,13,2017-09-23 00:12:17.253,2019-10-05 20:27:29.925,"Dark chocolate, smoky, full-bodied",
21,11,Big Trouble,13,2017-09-23 00:21:37.337,2017-12-29 02:58:37.713,"Caramel, nut, chocolate","Big Trouble offers nutty, caramel flavors people know and love, which may seem easy—and our goal is to make it easy to enjoy in any brewer—but it's actually one of the most challenging for us, because clean, sweet, low-acidity coffees from small-scale farms can be elusive."
21,3331,Big Trouble,13,2017-09-23 00:21:37.337,2019-11-17 00:36:07.219,"Caramel, nut, chocolate",
21,714,Big Trouble,13,2017-09-23 00:21:37.337,2018-11-14 17:00:05.156,"Caramel, Nut and Chocolate",
21,2050,Big Trouble,13,2017-09-23 00:21:37.337,2019-07-29 03:07:23.922,"Caramel, nut, chocolate",
21,2810,Big Trouble,13,2017-09-23 00:21:37.337,2019-10-05 19:56:28.975,"Caramel, nutty, round",
21,3490,Big Trouble,13,2017-09-23 00:21:37.337,2019-12-01 19:08:33.658,"Caramel, nut, chocolate",
